language_no,language_name,stimulus_no,status,causal_marker,sentence,glosses_en,back_translation_en,glosses_ru,back_translation_ru,comments,comments_informal
38,Moksha,1,main,ezda_GEN,ruс'ɛ-s' načk-s' s'el'məvet'-t'n'ə-n' ezdə ,handkerchief-DEF.SG get_wet-PST.3[SG] tear-DEF.PL-GEN in.ABL,The handkerchief got wet from tears.,платок-DEF.SG намокнуть-PST.3[SG] слеза-DEF.PL-GEN в.ABL,Платок намок от слез.,,
38,Moksha,1,alternate,EL,ruс'ɛ-s' načk-s' sel'məvectə ,handkerchief-DEF.SG get_wet-PST.3[SG] tear.EL,The handkerchief got wet from tears.,платок-DEF.SG намокнуть-PST.3[SG] слеза.EL,Платок намок от слез.,,
38,Moksha,1,alternate,n.a.,s'el'məvet'-t'n'ə nač-ft-əz'ə ruc'ɛ-t',tear-DEF.PL get_wet-CAUS-PST.3SG.O.3SG.S handkerchief-DEF.SG.GEN,The tears wet the handkerchief.,слеза-DEF.PL намокнуть-CAUS-PST.3SG.O.3SG.S платок-DEF.SG.GEN,Слезы намочили платок.,,
38,Moksha,2,main,ezda_GEN,tarac' s'in'd'-əv-s' staka-t' ezdə,branch break-PASS-PST.3[SG] weight-DEF.SG.GEN in.ABL,The branch broke under the weight.,ветка сломать-PASS-PST.3[SG] тяжесть-DEF.SG.GEN в.ABL,Ветка сломалась от тяжести.,,
38,Moksha,2,alternate,inksa_GEN,tarac' s'in'd'-əv-s' staka-t' inksə,branch break-PASS-PST.3[SG] weight-DEF.SG.GEN because_of,The branch broke under the weight.,ветка сломать-PASS-PST.3[SG] тяжесть-DEF.SG.GEN из-за,Ветка сломалась от тяжести.,,
38,Moksha,2,alternate,DAT,staka-t'i s'in'd'-əv-s' tarac',weight-DEF.SG.DAT break-PASS-PST.3[SG] branch.DEF.SG,The branch broke due to the weight.,тяжесть-DEF.SG.DAT сломать-PASS-PST.3[SG] ветка.DEF.SG,Под тяжестью сломалась ветка.,,
38,Moksha,2,alternate,n.a.,vederka moda-s' povfta-l' tarat-t'I i t'ɛ staka-s' s'in'd'-əz’ə tarat-t',bucket earth-DEF.SG hang-IMPF[3SG] branch-DAT and this weight-DEF.SG break-PST.3SG.O.3SG.S branch-DEF.SG.GEN,The branch broke under the weight.,ведерко земля-DEF.SG повесить-IMPF[3SG] ветка-DAT и этот тяжесть-DEF.SG сломать-PST.3SG.O.3SG.S ветка-DEF.SG.GEN,Ветка сломалась от тяжести.,,
38,Moksha,3,main,ezda_GEN,ava-s' koz-i kačam-t' ezdə,woman-DEF.SG cough-NPST.3[SG] smoke-DEF.SG.GEN in.ABL,The woman is coughing because of the smoke.,женщина-DEF.SG кашлять-NPST.3[SG] дым-DEF.SG.GEN в.ABL,Женщина кашляет от дыма.,,
38,Moksha,3,alternate,n.a.,kačam-s' koz-ft-əz'ə ava-t' ,smoke-DEF.SG.NOM cough-CAUS-PST.3SG.O.3SG.S woman-DEF.SG.GEN,The smoke made the woman cough.,дым-DEF.SG.NOM кашлять-CAUS-PST.3SG.O.3SG.S женщина-DEF.SG.GEN,Дым заствил женщину кашлять.,This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.,
38,Moksha,3,alternate,n.a.,koz-ft-əz'ə ava-t' kačam-s' ,cough-CAUS-PST.3SG.O.3SG.S woman-DEF.SG.GEN smoke-DEF.SG.NOM,The smoke made the woman cough.,кашлять-CAUS-PST.3SG.O.3SG.S женщина-DEF.SG.GEN дым-DEF.SG.NOM,Дым заствил женщину кашлять.,This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.,
38,Moksha,4,main,ezda_GEN,šopəda-t' ezdə af n'ɛj-sas'k berɛg-t',darkness-DEF.SG.GEN darkness in.ABL see-NPST.3.O.1PL.S shore-DEF.SG.GEN,"Because of the darkness, we can’t see the shore.",темнота-DEF.SG.GEN в.ABL NEG видеть-NPST.3.O.1PL.S берег-DEF.SG.GEN,Из-за темноты мы не видим берег .,,
38,Moksha,4,alternate,EL,berəg-s' šopəda-stə af n'ɛj-əv-i ,shore-DEF.SG darkness-EL darkness-EL see-PASS-NPST.3[SG],The shore is not visible in the darkness.,берег-DEF.SG темнота-EL NEG видеть-PASS-NPST.3[SG],Берег не виден из темноты/в темноте.,,
38,Moksha,4,alternate,EL,šopəda-stə berəg-s' af n'ɛj-əv-i,darkness-EL shore-DEF.SG NEG see-PASS-NPST.3[SG],"In the darkness, we can’t see the shore.",темнота-EL берег-DEF.SG NEG видеть-PASS-NPST.3[SG],В темноте мы не видим берег.,,
38,Moksha,4,alternate,EL,t'ej-nək bereg-s' af n'ɛj-əv-i šopəda-stə,PRON.DAT-1PL.POSS shore-DEF.SG NEG see-PASS-NPST.3[SG] darkness-EL,We can’t see the shore because of the darkness.,PRON.DAT-1PL.POSS берег-DEF.SG NEG видеть-PASS-NPST.3[SG] темнота-EL,Мы не видим берег из-за темноты.,,
38,Moksha,4,alternate,inksa_GEN,t'ej-nək bereg-s' af n'ɛj-əv-i šopəda-t' inksə ,PRON.DAT-1PL.POSS shore-DEF.SG NEG see-PASS-NPST.3[SG] darkness-DEF.SG.GEN in.ABL,We can’t see the shore because of the darkness.,PRON.DAT-1PL.POSS берег-DEF.SG NEG видеть-PASS-NPST.3[SG] темнота-DEF.SG.GEN в.ABL,Мы не видим берег из-за темноты.,,
38,Moksha,5,main,n.a.,al'ɛ-t' pɛksta-z' ɛl'bɛd'-əm-ga ,man-DEF.SG.GEN close-PST.3.O.3PL.S make_mistakes-INF-PROL,The man was arrested by mistake.,мужчина-DEF.SG.GEN закрыть-PST.3.O.3PL.S ошибаться-INF-PROL,"Мужчину арестовали, ошибившись.","This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.",
38,Moksha,6,main,ezda_GEN,šufc' pra-s' varma-t' ezdə,tree fell-PST.3[SG] wind-DEF.SG.GEN in.ABL,The tree fell from the wind.,дерево упасть-PST.3[SG] ветер-DEF.SG.GEN в.ABL,Дерево упало от ветра.,,
38,Moksha,6,alternate,inksa_GEN,šufc' pra-s' varma-t' inksə,tree fell-PST.3[SG] wind-DEF.SG.GEN because_of,The tree fell from the wind.,дерево упасть-PST.3[SG] ветер-DEF.SG.GEN из-за,Дерево упало от ветра.,,
38,Moksha,6,alternate,n.a.,šuft praft-əz'ə varma-s',tree fell-CAUS-PST.3SG.O.3SG.S wind-DEF.SG,The wind knocked down the tree.,дерево упасть-CAUS-PST.3SG.O.3SG.S ветер-DEF.SG,Ветер завалил дерево.,This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.,
38,Moksha,6,alternate,EL,varma-stə šufc' vajɛ j,wind-EL tree.DEF.SG be_falling-NPST.3[SG],The tree falls from the wind.,ветер-EL дерево.DEF.SG валиться-NPST.3[SG],От ветра валится дерево.,,
38,Moksha,7,main,ezda_GEN,al'ɛ-s' kulə-s' tok-t' ezdə,man-DEF.SG die-PST.3[SG] current-DEF.SG.GEN in.ABL,The man died due to electric shock.,мужчина-DEF.SG умереть-PST.3[SG] ток-DEF.SG.GEN в.ABL,Мужчина погиб из-за тока.,,
38,Moksha,7,alternate,n.a.,al'ɛ-t' šav-əz'ə tok-s' srazu,man-DEF.SG.GEN kill-PST.3SG.O.3SG.S current-DEF.SG immediately,The man was killed by electric shock immediately.,мужчина-DEF.SG.GEN убить-PST.3SG.O.3SG.S ток-DEF.SG сразу,Мужчину убил ток сразу.,,
38,Moksha,7,alternate,inksa_GEN,al'ɛ-s' kulə-s' tok-t' inksə,man-DEF.SG die-PST.3[SG] current-DEF.SG.GEN because_of,The man died due to electric shock.,мужчина-DEF.SG умереть-PST.3[SG] ток-DEF.SG.GEN из-за,Мужчина погиб из-за тока.,,
38,Moksha,7,alternate,inksa_GEN,al'ɛ-s' kulə-s' tok-t' ɛr̥'t'-əma-nc inksə,man-DEF.SG die-PST.3[SG] current-DEF.SG.GEN hit-NZR-3SG.POSS.SG.GEN because_of,The man died from an electric shock.,мужчина-DEF.SG умереть-PST.3[SG] ток-DEF.SG.GEN ударить-NZR-3SG.POSS.SG.GEN из-за,Мужчина погиб от удара тока.,,
38,Moksha,8,main,ezda_GEN,ava-s' sərgəz'-s' krik-t' ezdə,woman-DEF.SG.GEN wake_up-PST.3[SG] scream-DEF.SG.GEN in.ABL,The woman woke up from a scream.,женщина-DEF.SG.GEN проснуться-PST.3[SG] крик-DEF.SG.GEN в.ABL,Женщина проснулась от крика.,,
38,Moksha,8,alternate,inksa_GEN,ava-s' sərgəz'-s' krik-t' inksə ,woman-DEF.SG.GEN wake_up-PST.3[SG] scream-DEF.SG.GEN because_of,The woman woke up from a scream.,женщина-DEF.SG.GEN проснуться-PST.3[SG] крик-DEF.SG.GEN из-за,Женщина проснулась от крика.,,
38,Moksha,8,alternate,CSL,krik-ənksə son sərgəz'-s',scream-CLS he wake_up-PST.3[SG],He woke up because of the scream.,крик-CLS он проснуться-PST.3[SG],Он проснулся из-за крика.,,
38,Moksha,8,alternate,DAT,ava-s' krik-ti sərgəz'-s',woman-DEF.SG scream-DAT wake_up-PST.3[SG],The woman woke up from a scream.,женщина-DEF.SG крик-DAT проснуться-PST.3[SG],Женщина проснулась от крика.,,
38,Moksha,9,main,ezda_GEN,al'ɛ-t' poza-t' ezdə s'ɛr'ɛd'-i pr'a-c ,man-DEF.SG.GEN beer-DEF.SG.GEN in.ABL get_sick-NPST.3[SG] head-3SG.POSS.SG,The man has a headache from beer.,мужчина-DEF.SG.GEN пиво-DEF.SG.GEN в.ABL болеть-NPST.3[SG] голова-3SG.POSS.SG,У мужчины от пива болит голова.,,
38,Moksha,10,main,inksa_GEN,ava-s' raka-s' pin'ə l'efks-t' inksə ,woman-DEF.SG laugh-PST.3[SG] dog young-DEF.SG.GEN because_of,The woman laughed because of the puppy.,женщина-DEF.SG смеяться-PST.3[SG] собака детеныш-DEF.SG.GEN из-за,Женщина рассмеялась из-за щенка.,,
38,Moksha,11,main,ezda_GEN,al'ɛ-s' kulə-s' jadəvaj kal-t' ezdə kal-t' ezdə kaftə častə mel'ə,man-DEF.SG die-PST.3[SG] poisonous fish-DEF.SG.GEN because_of two time.EL after.LOC,The man died from poisonous fish two hours later.,мужчина-DEF.SG умереть-PST.3[SG] ядовитый рыба-DEF.SG.GEN из-за два час.EL после.LOC,Мужчина умер от ядовитой рыбы спустя два часа.,,
38,Moksha,12,main,DAT,st'ər'-n'ɛ-s' god'a-v-s' es' otmetka-ncti,young_woman-DIM-DEF.SG to_please-PASS-PST.3[SG] own mark-3SG.POSS.SG.DAT,The girl is happy with her grade.,девушка-DIM-DEF.SG угодить-PASS-PST.3[SG] свой отметка-3SG.POSS.SG.DAT,Девочка довольна своей оценкой.,,
38,Moksha,12,alternate,ezda_GEN,st'ər'-n'ɛ-s' god'a-v-s' es' otmetka-nc ezdə,young_woman-DIM-DEF.SG to_please-PASS-PST.3[SG] own mark-3SG.POSS.SG.GEN in.ABL,The girl is happy because of her grade.,девушка-DIM-DEF.SG угодить-PASS-PST.3[SG] свой отметка-3SG.POSS.SG.GEN в.ABL,Девочка довольна из-за своей оценки.,,
38,Moksha,12,alternate,inksa_GEN,es' otmetka-nc inksə stern'ɛ-s' god'a-v-s' ,own mark-3SG.POSS.SG.GEN because_of young_woman-DIM-DEF.SG please-PASS-PST.3[SG],The girl is happy because of her grade.,свой отметка-3SG.POSS.SG.GEN из-за девушка-DIM-DEF.SG угодить-PASS-PST.3[SG],Девочка довольна из-за своей оценки.,,
38,Moksha,13,main,inksa_GEN,ava-s' kɛžijɛ-s' mər'd'-ənc val-ənc inksə,woman-DEF.SG get_angry-PST.3[SG] husband-3SG.POSS.SG.GEN word-3SG.POSS.SG.GEN in.ABL,The wife got angry because of her husband’s words.,женщина-DEF.SG злиться-PST.3[SG] муж-3SG.POSS.SG.GEN слово-3SG.POSS.SG.GEN в.ABL,Жена рассердилась из-за слов мужа.,,
38,Moksha,13,alternate,ezda_GEN,ava-s' kɛžijɛ-s' mər'd'-ənc ezdə,woman-DEF.SG get_angry-PST.3[SG] husband-3SG.POSS.SG.GEN in.ABL,The wife got angry because of her husband.,женщина-DEF.SG злиться-PST.3[SG] муж-3SG.POSS.SG.GEN в.ABL,Жена рассердилась из-за мужа.,,
38,Moksha,13,alternate,inksa_GEN,ava-s' kɛžijɛ-s' mər'd'-ənc inksə,woman-DEF.SG get_angry-PST.3[SG] husband-3SG.POSS.SG.GEN because_of,The wife got angry because of her husband.,женщина-DEF.SG злиться-PST.3[SG] муж-3SG.POSS.SG.GEN из-за,Жена рассердилась из-за мужа.,,
38,Moksha,13,alternate,DAT,ava-s' mər'd’-ənc val-əncti kɛžijɛ-s’,woman-DEF.SG husband-3SG.POSS.SG.GEN word-3SG.POSS.SG.DAT get_angry-PST.3[SG],The wife got angry at her husband’s words.,женщина-DEF.SG муж-3SG.POSS.SG.GEN слово-3SG.POSS.SG.DAT злиться-PST.3[SG],Жена рассердилась на слова мужа.,,
38,Moksha,13,alternate,n.a.,al'ɛ-t' val-ənzə kɛžja-ft-əz'ə ava-t',woman-DEF.SG.GEN word-3SG.POSS.PL get_angry-PST.3[SG] husband-3SG.POSS.SG.GEN,The husband’s words angered the woman.,женщина-DEF.SG.GEN слово-3SG.POSS.PL злиться-PST.3[SG] муж-3SG.POSS.SG.GEN,Слова мужа разозлили женщину.,,
38,Moksha,14,main,CSL,с'ora-n'a-с t'ɛ-nksə pɛk ken'ɛr'c' ,boy-DIM-3SG.POSS.SG this-CSL very rejoice.PST.3[SG],The boy was very happy because of this.,парень-DIM-3SG.POSS.SG этот-CSL очень радоваться.PST.3[SG],Мальчик этому (из-за этого) очень обрадовался.,,
38,Moksha,14,alternate,mela_ABL,c'ora-n'a-c t'ɛ kor̥ta-ma-də mel'ə pɛk ken'ɛr'tə-s' ,boy-DIM-3SG.POSS.SG this-CSL speak-NZR-ABL after very rejoice.PST.3[SG],The boy was happy because of this conversation.,парень-DIM-3SG.POSS.SG этот-CSL говорить-NZR-ABL после очень радоваться.PST.3[SG],Мальчик обрадовался от этого разговора.,,
38,Moksha,14,alternate,inksa_GEN,c'ora-n'a-c pɛk ken'ɛr'с' tə-s' kor̥ta-ma-t' inksə,boy-DIM-3SG.POSS.SG very rejoice.PST.3[SG] this-CSL speak-NZR-DEF.SG.GEN because_of,The boy was happy because of this conversation.,парень-DIM-3SG.POSS.SG очень радоваться.PST.3[SG] этот-CSL говорить-NZR-DEF.SG.GEN из-за,Мальчик обрадовался из-за этого разговора.,,
38,Moksha,15,main,CSL,al'ɛ-s' slabaj-gəc' vačəši-nksə,man-DEF.SG weak-INCP.PST.3[SG] famine-CSL,The man weakened from hunger.,мужчина-DEF.SG слабый-INCP.PST.3[SG] голод-CSL,Мужчина ослабел от голода.,,
38,Moksha,15,alternate,CSL,al'ɛ-s' slabaj-gəc' vačədə ašč-əma-nksə,man-DEF.SG weak-INCP.PST.3[SG] hungry be-NZR-CSL,The man weakened from hunger.,мужчина-DEF.SG слабый-INCP.PST.3[SG] голодный находиться-NZR-CSL,Мужчина ослабел от голода.,,
38,Moksha,15,alternate,ezda_GEN,al'ɛ-s' slabaj-gəc' vačəši-t' ezdə,man weak-INCP.PST.3[SG] famine-DEF.SG.GEN in.ABL,The man weakened from hunger.,мужчина слабый-INCP.PST.3[SG] голод-DEF.SG.GEN в.ABL,Мужчина ослабел от голода.,,
38,Moksha,16,main,n.a.,al'ɛ-s' kulə-s' vačədə ,man-DEF.SG die-PST.3[SG] hungry,The man died hungry.,мужчина-DEF.SG умереть-PST.3[SG] голодный,Мужчина умер голодный.,"This translation is not included in the database because the causing event is expressed as an adverb, not a nominal phrase.",
38,Moksha,16,alternate,CSL,al'ɛ-s' kulə-s' vačəši-nksə,man-DEF.SG die-PST.3[SG] famine-CLS,The man died from hunger.,мужчина-DEF.SG умереть-PST.3[SG] голод-CLS,Мужчина умер от голода.,,
38,Moksha,17,main,ezda_GEN,al'ɛ-s' ivad'-i mar'ɛj-t' ezdə,man-DEF.SG scream-NPST.3[SG] pain-DEF.SG.GEN in.ABL,The man is screaming from pain.,мужчина-DEF.SG кричать-NPST.3[SG] боль-DEF.SG.GEN в.ABL,Мужчина кричит от боли.,,
38,Moksha,17,alternate,inksa_GEN,al'ɛ-s' ivad'-i mar'ɛj-t' inksə ,man-DEF.SG scream-NPST.3[SG] pain-DEF.SG.GEN because_of,The man is screaming from pain.,мужчина-DEF.SG кричать-NPST.3[SG] боль-DEF.SG.GEN из-за,Мужчина кричит от боли.,,
38,Moksha,18,main,ezda_GEN,ava-s' kalg-i jakšam-t' ezdə,woman-DEF.SG shake-NPST.3[SG] cold-DEF.SG.GEN in.ABL,The woman is trembling from the cold.,женщина-DEF.SG трястись-NPST.3[SG] холод-DEF.SG.GEN в.ABL,Женщина дрожит от холода.,,
38,Moksha,18,alternate,inksa_GEN,ava-s' kalg-i jakšam-t' inksə,woman-DEF.SG shake-NPST.3[SG] cold-DEF.SG.GEN because_of,The woman is trembling from the cold.,женщина-DEF.SG трястись-NPST.3[SG] холод-DEF.SG.GEN из-за,Женщина дрожит от холода.,,
38,Moksha,18,alternate,EL,ava-s' kalg-i jakšam-stə,woman-DEF.SG shake-NPST.3[SG] cold-EL,The woman is trembling in the cold.,женщина-DEF.SG трястись-NPST.3[SG] холод-EL,Женщина дрожит в холоде.,,
38,Moksha,18,alternate,CSL,jakšam-ənksə ava-s' af mol-i kov-gə,cold-CLS woman-DEF.SG woman-DEF.SG go-NPST.3[SG] where-ADD,"In the cold, the woman won’t go anywhere.",холод-CLS женщина-DEF.SG NEG идти-NPST.3[SG] куда-ADD,В холод женщина никуда не пойдет.,,
38,Moksha,19,main,ezda_GEN,ic' avar'-gəc' stras't'-t' ezdə,child.DEF.SG cry-INCP.PST.3[SG] fear.DEF.SG.GEN in.ABL,The child cried from fear.,ребенок.DEF.SG плакать-INCP.PST.3[SG] страх.DEF.SG.GEN в.ABL,Ребенок заплакал от страха.,,
38,Moksha,19,alternate,CSL,ɛvəd'-əma-nksə it' avar'c' ,be_scared-NZR-CSL child cry.PST.3[SG],"Because of fright, the child cried.",испугаться-NZR-CSL ребенок плакать.PST.3[SG],Из-за испуга ребенок плакал.,,
38,Moksha,19,alternate,DAT,ɛvad'-əma-ti it' avar'd'-i ,frighten-NZR-DEF.SG.DAT child cry-NPST.3[SG],"Because of fright, the child cried.",испугаться-NZR-DEF.SG.DAT ребенок плакать-NPST.3[SG],Из-за испуга ребенок плакал.,,
38,Moksha,19,alternate,n.a.,stras't'-s' avar'-ft-əz'ə it'-t' ,fear-DEF.SG cry-CAUS-PST.3SG.O.3SG.S child-DEF.SG.GEN,Fear made the child cry.,страх-DEF.SG плакать-CAUS-PST.3SG.O.3SG.S ребенок-DEF.SG.GEN,Страх заставил ребенка заплакать.,This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.,
38,Moksha,20,main,ezda_GEN,it'-n'ɛ-s' raka-z'əv-s' ken'ɛr'd'-əma-t' ezdə,child-DIM-DEF.SG laugh-INCH-PST.3[SG] rejoice-NZR-DEF.SG.GEN in.ABL,The child laughed from joy.,ребенок-DIM-DEF.SG смеяться-INCH-PST.3[SG] радоваться-NZR-DEF.SG.GEN в.ABL,Ребенок рассмеялся от радости.,,
38,Moksha,20,alternate,CSL,it'-n'ɛ-s' raka-z'əv-s' ken'ɛr'd'-əma-nksə,child-DIM-DEF.SG laugh-INCH-PST.3[SG] rejoice-NZR-CSL,The child laughed from joy.,ребенок-DIM-DEF.SG смеяться-INCH-PST.3[SG] радоваться-NZR-CSL,Ребенок рассмеялся от радости.,,
38,Moksha,20,alternate,n.a.,ken'ɛr'd'-əma-s' raka-ft-əz'ə it'-t' ,rejoice-NZR-DEF.SG laugh-CAUS-PST.3SG.O.3SG.S child-DEF.SG.GEN,Joy makes the child laugh.,радоваться-NZR-DEF.SG смеяться-CAUS-PST.3SG.O.3SG.S ребенок-DEF.SG.GEN,Радость заставляет ребенка смеяться.,This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.,
38,Moksha,21,main,ezda_GEN,ic' stras't'-t' ezdə kɛš-s' latal-u ,child fear-DEF.SG.GEN in.ABL hide-NPST.3[SG] hostess-LAT,The child hid in the barn out of fear.,"ребенок страх-DEF.SG.GEN в.ABL прятать-NPST.3[SG] 
farm_building-LAT",Ребенок от страха спрятался в сарае.,,
38,Moksha,22,main,csl,al'ɛ-s' istəvajši-nksə mez'-gə iz' kor̥tə,man-DEF.SG smart-CSL what-ADD what-ADD speak.CN,"The man said nothing out of ""correctness.""",мужчина-DEF.SG умный-CSL что-ADD NEG.PST.3[SG] говорить.CN,"Мужчина ничего не сказал из ""правильности"".",,
38,Moksha,23,main,ezda_GEN,ava-s' stras't'-t' ezdə fat'ɛ-z'ə brad-ənc kɛc'tə,woman-DEF.SG fear-DEF.SG.GEN in.ABL grab-PST.3SG.O.3SG.S brother-3SG.POSS.SG.GEN hand.EL,The woman grabbed her brother’s hand in fear.,женщина-DEF.SG страх-DEF.SG.GEN в.ABL схватить-PST.3SG.O.3SG.S брат-3SG.POSS.SG.GEN рука.EL,Женщина в страхе схватила руку брата.,,
38,Moksha,23,alternate,inksa_GEN,ava-s' stras't'-t' inksə fat'ɛ-z'ə brad-ənc kɛc'tə,woman-DEF.SG fear-DEF.SG.GEN because_of grab-PST.3SG.O.3SG.S brother-3SG.POSS.SG.GEN hand.EL,The woman grabbed her brother’s hand in fear.,женщина-DEF.SG страх-DEF.SG.GEN из-за схватить-PST.3SG.O.3SG.S брат-3SG.POSS.SG.GEN рука.EL,Женщина в страхе схватила руку брата.,,
38,Moksha,24,main,ezda_GEN,ava-s' siz'ə-s' rabota-t' ezdə ,woman-DEF.SG get_tired-PST.3[SG] work-DEF.SG.GEN in.ABL,The woman is tired from work.,женищина-DEF.SG устать-PST.3[SG] работать-DEF.SG.GEN в.ABL,Женщина устала от работы.,,
38,Moksha,24,alternate,inksa_GEN,ava-s' siz'ə-s' rabota-t' inksə,woman-DEF.SG get_tired-PST.3[SG] work-DEF.SG.GEN because_of,The woman is tired from work.,женищина-DEF.SG устать-PST.3[SG] работать-DEF.SG.GEN из-за,Женщина устала от работы.,,
