language_no,language_name,stimulus_no,status,causal_marker,sentence,glosses_en,back_translation_en,glosses_ru,back_translation_ru,comments,comments_informal
38,Moksha,24,alternate,n.a.,ava-s' siz'ə-s' rabata-m-stə,woman-DEF.SG get_tired-PST.3[SG] work-INF-EL,The woman got tired while working.,женищина-DEF.SG устать-PST.3[SG] работать-INF-EL,"Женщина устала, работая.","This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.",
38,Moksha,24,alternate,CSL,ava-s' siz'ə-s' rabatama-nksə,woman-DEF.SG.GEN get_tired-PST.3[SG] work-NZR-CSL,The woman is tired from work.,женщина-DEF.SG.GEN устать-PST.3[SG] работать-NZR-CSL,Женщина устала от работы.,,
38,Moksha,25,main,inksa_GEN,avas' af matəd-əv-I s'ɛs'kə-n'ə-n' inksə,woman-DEF.SG woman-DEF.SG fall_asleep-PASS-NPST.3[SG] mosquito-DEF.PL-GEN because_of,The woman can’t sleep because of the mosquitoes.,женщина-DEF.SG NEG уснуть-PASS-NPST.3[SG] комар-DEF.PL-GEN из-за,Женщина не может заснуть из-за комаров.,,
38,Moksha,25,alternate,ezda_GEN,avas' af matəd-əv-I s'ɛs'kə-n'ə-n' ezdə ,woman-DEF.SG woman-DEF.SG fall_asleep-PASS-NPST.3[SG] mosquito-DEF.PL-GEN in.ABL,The woman can’t sleep because of the mosquitoes.,женщина-DEF.SG NEG уснуть-PASS-NPST.3[SG] комар-DEF.PL-GEN в.ABL,Женщина не может заснуть из-за комаров.,,
38,Moksha,25,alternate,CSL,avas' af matəd-əv-I s'ɛs'kə-nksə ,woman-DEF.SG woman-DEF.SG fall_asleep-PASS-NPST.3[SG] mosquito-CLS,The woman can’t sleep because of the mosquitoes.,женщина-DEF.SG NEG уснуть-PASS-NPST.3[SG] комар-CLS,Женщина не может заснуть из-за комаров.,,
38,Moksha,25,alternate,DAT,avas' af matəd-əv-i s'ɛs'kə-n'd'i,woman-DEF.SG woman-DEF.SG fall_asleep-PASS-NPST.3[SG] mosquito-PL.DAT,The woman can’t sleep because of the mosquitoes.,женщина-DEF.SG NEG уснуть-PASS-NPST.3[SG] комар-PL.DAT,Женщина не может заснуть из-за комаров.,,
38,Moksha,26,main,inksa_GEN,vec' n'ɛj-ev-i valctə kof-t' inksə ,water.DEF.SG see-PASS-NPST.3[SG] light.EL month-DEF.SG.GEN because_of,The water appears bright because of the moon.,вода.DEF.SG видеть-PASS-NPST.3[SG] светлый.EL месяц-DEF.SG.GEN из-за,Вода кажется светлой из-за луны.,,
38,Moksha,27,main,inksa_GEN,al'ɛ-s' udačnaj jaka-s' oxota-s pin'ə-nc inksə,man-DEF.SG successful walk-PST.3[SG] hunting-ILL dog-3SG.POSS.SG.GEN because_of,The man went hunting successfully because of the dog.,мужчина-DEF.SG удачный ходить-PST.3[SG] охота-ILL собака-3SG.POSS.SG.GEN из-за,Мужчина удачно сходил на охоту из-за собаки.,,
38,Moksha,28,main,langs_GEN,ava-s' kɛžijɛ-s' mər'd'-ənc langs ,woman-DEF.SG be_angry-PST.3[SG] husband-3SG.POSS.SG.GEN top-ILL,The wife got angry at her husband.,женщина-DEF.SG сердиться-PST.3[SG] муж-3SG.POSS.SG.GEN верх-ILL,Жена рассердилась на мужа.,,
38,Moksha,29,main,inksa_GEN,ava-s' pozdanda-z'ə rabota-mə mər'd'-ənc inksə ,woman-DEF.SG late-PST.3SG.O.3SG.S work-INF husband-3SG.POSS.SG.GEN because_of,The woman was late for work because of her husband.,женщина-DEF.SG опоздать-PST.3SG.O.3SG.S работать-INF муж-3SG.POSS.SG.GEN из-за,Женщина опоздала на работу из-за мужа.,,
38,Moksha,30,main,inksa_GEN,lomat'-t'n'ə kulə-s'-t' moda-t' šer̥'k-əma-nc inksə ,human-DEF.PL die-PST.3-PL earth-DEF.SG.GEN shake-NZR-3SG.POSS.SG.GEN because_of,People died because of the earthquake.,человек-DEF.PL умереть-PST.3-PL земля-DEF.SG.GEN трясти-NZR-3SG.POSS.SG.GEN из-за,Люди погибли из-за землетрясения.,,
38,Moksha,30,alternate,CSL,lomat'-t'n'ə kulə-s'-t' moda-t' žer'k-əma-nsə,human-DEF.PL die-PST.3-PL earth-DEF.SG.GEN shake-NZR-CSL,People died because of the earthquake.,человек-DEF.PL умереть-PST.3-PL земля-DEF.SG.GEN трясти-NZR-CSL,Люди погибли из-за землетрясения.,,
38,Moksha,30,alternate,n.a.,moda-n' žer̥'k-əma-s' kulə-ft-əz'n'ə loma-t'n'ə-n' ,earth-GEN shake-NZR-DEF.SG die-CAUS-PST.3PL.O.3SG.S human-DEF.PL-GEN,The earthquake led to people’s deaths.,земля-GEN трясти-NZR-DEF.SG умереть-CAUS-PST.3PL.O.3SG.S человек-DEF.PL-GEN,Землетрясение привело к гибели людей.,This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.,
38,Moksha,31,main,ezda_GEN,s'embə beda-t'n'ə lomat'-n'ə-n' ezdə,all trouble-DEF.PL human-DEF.PL-GEN in.ABL,All troubles happen because of humans.,все беда-DEF.PL человек-DEF.PL-GEN в.ABL,Все беды происходят из-за человека.,,
38,Moksha,32,main,ezda_GEN,operacija-t' ezdə al'ɛ-s' osnava-s' lac n'ɛj-əmə,surgery-DEF.SG.GEN in.ABL man-DEF.SG begin-PST.3[SG] fine see-INF,The man’s vision improved thanks to the surgery.,операция-DEF.SG.GEN в.ABL мужчина-DEF.SG начать-PST.3[SG] хорошо видеть-INF,Мужчина стал лучше видеть благодаря операции.,,
38,Moksha,32,alternate,inksa_GEN,operacija-t' inksə al'ɛ-s' osnava-s' lac n'ɛj-əmə,surgery-DEF.SG.GEN because_of man-DEF.SG begin-PST.3[SG] fine see-INF,The man’s vision improved thanks to the surgery.,операция-DEF.SG.GEN из-за мужчина-DEF.SG начать-PST.3[SG] хорошо видеть-INF,Мужчина стал лучше видеть благодаря операции.,,
38,Moksha,32,alternate,mela_ABL,operacija-də mel'ə al'ɛ-s' osnava-s' lac n'ɛj-əmə,surgery-ABL after man-DEF.SG begin-PST.3[SG] fine see-INF,The man’s vision improved after the surgery.,операция-ABL после мужчина-DEF.SG начать-PST.3[SG] хорошо видеть-INF,Мужчина стал лучше видеть после операции.,,
38,Moksha,33,main,inksa_GEN,t'ɛ al'ɛ-t' inksə ava-s' er'ɛ-j,this man-DEF.SG.GEN in.ABL woman-DEF.SG live-NPST3[SG],The woman is alive thanks to this man.,этот мужчина-DEF.SG.GEN в.ABL женщина-DEF.SG жить-NPST3[SG],Женщина жива благодаря этому мужчине.,,
38,Moksha,34,main,CSL,al'ɛ-s' az-əz'ə t'ɛ-n' ava-ncti glupajši-nksə,man-DEF.SG say-PST.3SG.O.3SG this-GEN wife-3SG.POSS.SG.DAT stupidity-CLS,The man told his wife this out of foolishness.,мужчина-DEF.SG сказать-PST.3SG.O.3SG этот-GEN жена-3SG.POSS.SG.DAT глупость-CLS,Мужчина сказал это жене по глупости.,,
38,Moksha,35,main,EL,ava-s' gur'ks-t' af van-ft-əma-stə,woman-DEF.SG slip up-PST.3[SG] NEG look-CAUS-NZR-EL,The woman slipped due to carelessness.,женщина-DEF.SG подскользнуться-PST.3[SG] NEG смотреть-CAUS-NZR-EL,Женщина поскользнулась по неосторожности.,,
38,Moksha,36,main,n.a.,letčik-s' maštəz' ozaft-əz'e samolet-t',pilot-DEF.SG.GEN skillfully plant-PST.3.O.3PL.S airplane-DEF.SG.GEN,The pilot skillfully landed the plane.,летчик-DEF.SG.GEN умело сажать-PST.3.O.3PL.S самолет-DEF.SG.GEN,Летчик умело посадил самолет.,"This translation is not included in the database because the causing event is expressed as an adverb, not a nominal phrase.",
38,Moksha,37,main,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,No satisfactory translation has been obtained.,
38,Moksha,38,main,inksa_GEN,vojna ping-stə lomat'-n'ə vačəši-t' inksə jarca-s'-t' juv-də ,war time-EL human-DEF.PL famine-DEF.SG.GEN in.ABL eat-PST.3-PL chaff-ABL,"During the war, people ate grass out of hunger.",война время-EL человек-DEF.PL голод-DEF.SG.GEN в.ABL есть-PST.3-PL мякина-ABL,Во время войны люди с голода ели траву.,,
38,Moksha,38,alternate,ezda_GEN,vojna ping-stə lomat'-n'ə vačəši-t' ezdə jarca-s'-t' juv-də ,war time-EL human-DEF.PL famine-DEF.SG.GEN because_of eat-PST.3-PL chaff-ABL,"During the war, people ate grass out of hunger.",война время-EL человек-DEF.PL голод-DEF.SG.GEN из-за есть-PST.3-PL мякина-ABL,Во время войны люди с голода ели траву.,,
38,Moksha,39,main,EL,vrednajši-stə-nzə ava-s' suva-s' potm-u,trust-EL.3SG.POSS woman-DEF.SG enter-DEF.SG interior-LAT,The woman went inside out of spite.,вердный-EL.3SG.POSS женщина-DEF.SG войти-DEF.SG внутренность-LAT,Женщина зашла внутрь из вредности.,,
38,Moksha,39,alternate,CSL,vrednajši-nksə ava-s' suva-s' potm-u,harmful-CSL woman-DEF.SG enter-DEF.SG interior-LAT,The woman went inside out of spite.,вредный-CSL женщина-DEF.SG войти-DEF.SG внутренность-LAT,Женщина зашла внутрь из вредности.,,
38,Moksha,40,main,CSL,al'ɛ-s' šav-əz'ə ava-nc korod-əma-nksə,man-DEF.SG kill-PST.3SG.O.3SG.S woman-3SG.POSS.SG.GEN be_jealous-NZR-CSL,The man killed his wife out of jealousy.,мужчина-DEF.SG убить-PST.3SG.O.3SG.S женщина-3SG.POSS.SG.GEN ревновать-NZR-CSL,Мужчина убил жену из ревности.,,
38,Moksha,40,alternate,inksa_GEN,al'ɛ-s' šav-əz'ə ava-nc korod-əma-nc-t' inksə,man-DEF.SG kill-PST.3SG.O.3SG.S woman-3SG.POSS.SG.GEN be_jealous-NZR-DEF.SG.GEN because_of,The man killed his wife out of jealousy.,мужчина-DEF.SG убить-PST.3SG.O.3SG.S женщина-3SG.POSS.SG.GEN ревновать-NZR-DEF.SG.GEN из-за,Мужчина убил жену из ревности.,,
38,Moksha,41,main,CSL,al'ɛ-s' s'embə-n' az-əz'n'e falend-əma-nksə,man-DEF.SG all-GEN say-PST.3PL.O.3SG.S boast-NZR-CSL,The man told everyone about it out of boastfulness.,мужчина-DEF.SG все-GEN сказать-PST.3PL.O.3SG.S хвастаться-NZR-CSL,Мужчина всем об этом рассказал из хвастовства.,,
38,Moksha,41,alternate,inksa_GEN,al'ɛ-s' s'embə-n' az-əz'n'e falend-əma-t' inksə,man-DEF.SG all-GEN say-PST.3PL.O.3SG.S boast-NZR-DEF.SG because_of,The man told everyone about it out of boastfulness.,мужчина-DEF.SG все-GEN сказать-PST.3PL.O.3SG.S хвастаться-NZR-DEF.SG из-за,Мужчина всем об этом рассказал из хвастовства.,,
38,Moksha,42,main,ABL,kɛž-də ava-s' kola-z'n'ə s'embə kɛt'k-n'ə-n',anger-ABL woman-DEF.SG break-PST.3PL.O.3SG.S all vessel-DEF.PL-GEN,The woman broke all the dishes out of anger.,злость-ABL женщина-DEF.SG разбить-PST.3PL.O.3SG.S все посуда-DEF.PL-GEN,Женщина разбила всю посуду от злости.,,
38,Moksha,42,alternate,ABL,kɛž-də-nzə ava-s' kola-z'n'ə s'embə kɛt'k-n'ə-n',anger-ABL-3SG.POSS woman-DEF.SG break-PST.3PL.O.3SG.S all vessel-DEF.PL-GEN,The woman broke all the dishes out of anger.,злость-ABL-3SG.POSS женщина-DEF.SG разбить-PST.3PL.O.3SG.S все посуда-DEF.PL-GEN,Женщина разбила всю посуду от злости.,,
38,Moksha,42,alternate,inksa_GEN,kɛž-t' inksə ava-s' kola-z'n'ə s'embə kɛt'k-n'ə-n',anger-DEF.SG.GEN because_of woman-DEF.SG.GEN break-PST.3PL.O.3SG.S all vessel-DEF.PL-GEN,The woman broke all the dishes out of anger.,злость-DEF.SG.GEN из-за женщина-DEF.SG.GEN разбить-PST.3PL.O.3SG.S все посуда-DEF.PL-GEN,Женщина разбила всю посуду от злости.,,
38,Moksha,43,main,CSL,ava-s' mac' šča-f-stə ud-əmə jakšam-ənksə,woman-DEF.SG lie.PST.3[SG] put_on-PTCP.RES-EL sleep-INF cold-CSL,The woman went to sleep dressed because of the cold.,женщина-DEF.SG лечь.PST.3[SG] одеть-PTCP.RES-EL спать-INF холод-CSL,Женщина легла спать одетой из-за холода.,,
38,Moksha,43,alternate,inksa_GEN,ava-s' mac' šča-f-stə ud-əmə jakšam-t' inksə ,woman-DEF.SG lie.PST.3[SG] put_on-PTCP.RES-EL sleep-INF cold-DEF.SG.GEN because_of,The woman went to sleep dressed because of the cold.,женщина-DEF.SG лечь.PST.3[SG] одеть-PTCP.RES-EL спать-INF холод-DEF.SG.GEN из-за,Женщина легла спать одетой из-за холода.,,
38,Moksha,43,alternate,ezda_GEN,ava-s' mac' šča-f-stə ud-əmə jakšam-t' ezdə,woman-DEF.SG lie put_on-PTCP.RES-EL sleep-INF cold-DEF.SG.GEN cold.ABL,The woman went to sleep dressed because of the cold.,женщина-DEF.SG лечь одеть-PTCP.RES-EL спать-INF холод-DEF.SG.GEN в.ABL,Женщина легла спать одетой из-за холода.,,
38,Moksha,44,main,CSL,maša šna-z'ə daša-n' dobraj panar-ənksə,Мasha praise-PST.3SG.O.3SG.S Dasha-GEN good shirt-CSL,Masha praised Dasha for her beautiful shirt.,Маша хвалить-PST.3SG.O.3SG.S Даша-GEN хороший рубашка-CSL,Маша похвалила Дашу за красивую рубашку.,,
38,Moksha,45,main,inksa_GEN,maša šna-z'ə daša-n' dobraj panar-ənc inksə ,Мasha praise-PST.3SG.O.3SG.S Dasha-GEN good shirt-3SG.POSS.SG.GEN because_of,Masha praised Dasha for her beautiful shirt.,Маша хвалить-PST.3SG.O.3SG.S Даша-GEN хороший рубашка-3SG.POSS.SG.GEN из-за,Маша похвалила Дашу за красивую рубашку.,,
38,Moksha,45,alternate,inksa_GEN,al'ɛ-s' šav-əz'ə sosed-ənc son' plox val-ənzən inksə,father-DEF.SG beat-PST.3SG.O.3SG.S neighbor-3SG.POSS.SG.GEN he bad word-3SG.POSS.PL-GEN because_of,The father beat the neighbor for his words.,отец-DEF.SG бить-PST.3SG.O.3SG.S сосед-3SG.POSS.SG.GEN он плохой слово-3SG.POSS.PL-GEN из-за,Отец побил соседа за его слова.,,
38,Moksha,46,main,csl,it'-t'n'ə t'ur'-s'-t' top-ənksə ,child-DEF.PL fight-PST.3-PL ball-CSL,The children fought over the ball.,ребенок-DEF.PL драться-PST.3-PL мяч-CSL,Дети подрались из-за мяча.,,
38,Moksha,46,alternate,inksa_GEN,it'-t'n'ə t'ur'-s'-t'top-t' inksə,child-DEF.PL fight-PST.3-PL ball-DEF.SG.GEN because_of,The children fought over the ball.,ребенок-DEF.PL драться-PST.3-PL мяч-DEF.SG.GEN из-за,Дети подрались из-за мяча.,,
38,Moksha,47,main,CSL,al'ɛ-s' kɛz'ija-s' brad-ənc mar̥tə koz'ɛši-nksə,man-DEF.SG get_angry-PST.3[SG] brother-3SG.POSS.SG.GEN with wealth-CSL,The man quarreled with his brother over wealth.,мужчина-DEF.SG злиться-PST.3[SG] брат-3SG.POSS.SG.GEN с богатство-CSL,Мужчина поссорился с братом из-за богатства.,,
38,Moksha,47,alternate,inksa_GEN,al'ɛ-s' kɛz'ija-s' brad-ənc mar̥tə koz'ɛ-tn'ə-n' inksə ,man-DEF.SG get_angry-PST.3[SG] brother-3SG.POSS.SG.GEN wealth-DEF.PL-GEN because_of,The man quarreled with his brother over wealth.,мужчина-DEF.SG злиться-PST.3[SG] брат-3SG.POSS.SG.GEN богатство-DEF.PL-GEN из-за,Мужчина поссорился с братом из-за богатства.,,
38,Moksha,47,alternate,CSL,al'ɛ-s' s'alənc' brad-ənc mar̥tə kud-ənksə,man-DEF.SG swear.PST.3[SG] with house-CLS,The man quarreled with his brother over the house.,мужчина-DEF.SG ругаться.PST.3[SG] с дом-CLS,Мужчина поссорился с братом из-за дома.,,
38,Moksha,47,alternate,inksa_GEN,al'ɛ-s' s'alənc' brad-ənc mar̥tə kut-t' inksə,man-DEF.SG swear.PST.3[SG] with house-DEF.SG.GEN because_of,The man quarreled with his brother over the house.,мужчина-DEF.SG ругаться.PST.3[SG] с дом-DEF.SG.GEN из-за,Мужчина поссорился с братом из-за дома.,,
38,Moksha,48,main,inksa_GEN,ava-s' rama-z'ə t'ɛ kniga-t' risunka-t'n'ə-n' inksə,woman-DEF.SG buy-PST.3SG.O.3SG.S this book-DEF.SG.GEN drawing-DEF.PL-GEN because_of,The woman bought this book because of the illustrations.,женщина-DEF.SG купить-PST.3SG.O.3SG.S этот книга-DEF.SG.GEN рисунок-DEF.PL-GEN из-за,Женщина купила эту книгу из-за рисунков.,,
38,Moksha,49,main,CSL,ava-s' lotka-s' vasf-n'ə-m-də jalga-nc mar̥tə plox m'ɛl'-ənksə,woman-DEF.SG stop-PST.3[SG] meet friend-3SG.POSS.SG.GEN with bad desire-CSL,The woman didn’t meet her friend because of her bad mood.,женщина-DEF.SG перестать-PST.3[SG] встречать друг-3SG.POSS.SG.GEN с плохой желание-CSL,Женщина не стала встречаться с подругой из-за плохого настроения.,,
38,Moksha,49,alternate,inksa_GEN,ava-s' iz' karma-j vas'əd'-əmə jalga-nc mar̥tə kal'd'av nasrajenia-nc inksə,woman-DEF.SG NEG begin-NPST.3[SG] meet-INF other-3SG.POSS.SG.GEN bad mood-3SG.POSS.SG.GEN because_of,The woman didn’t meet her friend because of her bad mood.,женщина-DEF.SG NEG начать-NPST.3[SG] встречаться-INF друг-3SG.POSS.SG.GEN плохой настроение-3SG.POSS.SG.GEN из-за,Женщина не стала встречаться с подругой из-за плохого настроения.,,
38,Moksha,49,alternate,CSL,ava-s' iz' karma-j vas'əd'-əmə jalga-nc mar̥tə kal'd'əv nasrajenija-nksə,woman-DEF.SG NEG begin-NPST.3[SG] meet-INF other-3SG.POSS.SG.GEN bad mood-CSL,The woman didn’t meet her friend because of her bad mood.,женщина-DEF.SG NEG начать-NPST.3[SG] встречаться-INF друг-3SG.POSS.SG.GEN плохой настроение-CSL,Женщина не стала встречаться с подругой из-за плохого настроения.,,
38,Moksha,50,main,koras_GEN,ved' lotk-n'e-n' kor'as n'ɛj-əv-I što piz'ə-s',water pit-DEF.PL-GEN according_to see-PASS-NPST.3[SG] what rain-NPST.3[SG],"Judging by the puddles, it rained last night.",вода яма-DEF.PL-GEN согласно видеть-PASS-NPST.3[SG] что дождить-NPST.3[SG],"Судя по лужам, ночью шел дождь.",,
38,Moksha,50,alternate,koras_GEN,vet'-n'ə-n' kor’as ve-t’ ul'-s' piz'əm,water-DEF.PL-GEN according night-DEF.SG.GEN be rain,"According to the water, there was rain last night.",вода-DEF.PL-GEN согласно ночь-DEF.SG.GEN быть дождь,"Согласно воде, ночью был дождь.",,
38,Moksha,51,main,koras_GEN,puzir̥-n'ə-n' kor'as vet' laka-s',bubble-DEF.PL-GEN  water boil-PST.3[SG],"According to the bubbles, the water has already boiled.",пузырь-DEF.PL-GEN согласно вода кипеть-PST.3[SG],"Согласно пузырькам, вода уже закипела.",,
38,Moksha,52,main,ezda_GEN,jakšam-t' ezdə suva-k kud-u,frost-DEF.SG.GEN frost.ABL enter-IMP.3SG.O.SG.S house-LAT,"Because it’s freezing, come into the house.",мороз-DEF.SG.GEN в.ABL войти-IMP.3SG.O.SG.S дом-LAT,"Из-за того, что мороз, заходи в дом.",,
38,Moksha,52,alternate,ABL,jakšam-də suva-k kud-u,frost-ABL enter-IMP.3SG.O.SG.S house-LAT,"Because you’re afraid of the cold, come into the house.",мороз-ABL войти-IMP.3SG.O.SG.S дом-LAT,"Из-за того, что боишься холода, заходи в дом.",,
38,Moksha,52,alternate,inksa_GEN,jaksam-t' inksə it'-t'n'ə suva-s'-t' kud-u ,frost-DEF.SG.GEN because_of child-DEF.PL enter-PST.3-PL house-LAT,"Because you’re afraid of the cold, come into the house.",мороз-DEF.SG.GEN из-за ребенок-DEF.PL войти-PST.3-PL дом-LAT,"Из-за того, что боишься холода, заходи в дом.",,
38,Moksha,53,main,n.a.,jakšamə! Kosa mon' svitər-z'ə,cold where me.GEN sweater-1SG.POSS.SG,"It’s cold, where is my sweater?",холодно где я.GEN свитер-1SG.POSS.SG,"Холодно, где мой свитер?","This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.",
38,Moksha,53,alternate,ezda_GEN,bjakšamə-t' ezdə kosi mon' svitər-z'ə,cold-DEF.SG.GEN me.ABL where where.GEN sweater-1SG.POSS.SG,"It’s cold, where is my sweater?",холод-DEF.SG.GEN в.ABL где я.GEN свитер-1SG.POSS.SG,"Холодно, где мой свитер?",,
38,Moksha,54,main,koras_GEN,pravila-t' kor'as t'ɛ čisla-s' fka-də jomla af ul-i,rule-DEF.SG.GEN according_to this number-DEF.SG one-ABL small small be-NPST.3[SG],"According to the rule, this number cannot be less than one.",правило-DEF.SG.GEN согласно этот число-DEF.SG один-ABL маленький NEG быть-NPST.3[SG],"Согласно правилу, это число не может быть меньше единицы.",,
38,Moksha,54,alternate,koras_GEN,zakon-t' kor'as t’ejə-nzə čisla-s' fka-də jomla af ul-i,law-DEF.SG.GEN according_to according_to this number-DEF.SG one-ABL small small be-NPST.3[SG],"According to the law, this number cannot be less than one.",закон-DEF.SG.GEN согласно PRON.DAT-3SG.POSS этот число-DEF.SG один-ABL маленький NEG быть-NPST.3[SG],"Согласно закону, это число не может быть меньше единицы.",,
38,Moksha,54,alternate,koras_GEN,pravila-t' kor'as kaftə put-əm-s kaftə ul-i n'il'ə,rule-DEF.SG.GEN according_to two put-INF-ILL two be-NPST.3[SG] four,"According to the rule, two plus two is four.",правило-DEF.SG.GEN согласно два поставить-INF-ILL два быть-NPST.3[SG] четыре,"Согласно правилу, два плюс два четыре.",,